Word,Synonyms
abandoned,abandon|abandon;give up|vacate;empty;abandon|abandon;give up|abandon;forsake;desolate;desert
abandoned,derelict;deserted
abbreviated,abridge;foreshorten;abbreviate;shorten;cut;contract;reduce|abbreviate
abbreviated,brief|shortened;truncated
abdominal,abdominal muscle;ab
abducting,kidnap;nobble;abduct;snatch|abduct
abducting,abducent
abhorrent,detestable;obscene;repugnant;repulsive
abiding,bide;abide;stay|digest;endure;stick out;stomach;bear;stand;tolerate;support;brook;abide;suffer;put up
abiding,enduring;imperishable
abject,low;low-down;miserable;scummy;scurvy|unhopeful
abkhaz,Abkhaz;Abkhazian;Abkhas;Abkhasian|Abkhaz;Abkhazia|Abkhaz;Abkhas
abkhaz,Abkhaz;Abkhazian
abkhazian,Abkhaz;Abkhazian;Abkhas;Abkhasian|Abkhazian;Abkhasian
abkhazian,Abkhaz;Abkhazian
ablaze,aflame;aroused|afire;aflame;aflare;alight;on fire|inflamed;reddened
able,capable|able-bodied
abnormal,unnatural
aboriginal,Aborigine;Abo;Aboriginal;native Australian;Australian Aborigine|native;indigen;indigene;aborigine
aboriginal,Aboriginal|native
aboriginal,primal;primeval;primaeval;primordial
abreast,au courant;au fait;up on
abridged,abridge;foreshorten;abbreviate;shorten;cut;contract;reduce|abridge
abroad,overseas
abroad,afield|overseas
abrupt,disconnected|precipitous;sharp
absent,remove
absent,lacking;missing;wanting|absentminded;abstracted;scatty
absentminded,absent;abstracted;scatty
absolute,downright;out-and-out;rank;right-down;sheer|infrangible;inviolable
absolutist,absolutistic
absolved,shrive;absolve|absolve;justify;free
absolved,clear;cleared;exculpated;exonerated;vindicated
absorbed,absorb|absorb;assimilate;ingest;take in|absorb;take over|absorb;suck;imbibe;soak up;sop up;suck up;draw;take in;take up|absorb|absorb;take in|steep;immerse;engulf;plunge;engross;absorb;soak up|absorb|absorb;engross;engage;occupy
absorbed,captive;engrossed;enwrapped;intent;wrapped
absorbent,absorbent material
absorbent,absorptive
absorbing,absorb|absorb;assimilate;ingest;take in|absorb;take over|absorb;suck;imbibe;soak up;sop up;suck up;draw;take in;take up|absorb|absorb;take in|steep;immerse;engulf;plunge;engross;absorb;soak up|absorb|absorb;engross;engage;occupy
absorbing,engrossing;fascinating;gripping;riveting
abstract,abstraction|outline;synopsis;precis
abstract,pilfer;cabbage;purloin;pinch;snarf;swipe;hook;sneak;filch;nobble;lift
abstract,abstractionist;nonfigurative;nonobjective
absurd,the absurd
absurd,cockeyed;derisory;idiotic;laughable;ludicrous;nonsensical;preposterous;ridiculous
abused,mistreat;maltreat;abuse;ill-use;step;ill-treat|pervert;misuse;abuse|abuse;clapperclaw;blackguard;shout|abuse
abused,ill-treated;maltreated;mistreated
abusive,opprobrious;scurrilous
abuzz,buzzing
abysmal,abyssal;unfathomable
academic,academician;faculty member
academic,donnish;pedantic
accelerated,accelerate;speed up;speed;quicken|accelerate;speed;speed up
acceptable,satisfactory
accepted,accept|accept;take;have|accept;consent;go for|accept|accept;admit;take;take on|bear;take over;accept;assume|accept;live with;swallow|accept;take|accept|take;accept|accept
accepted,recognized;recognised
accepting,accept|accept;take;have|accept;consent;go for|accept|accept;admit;take;take on|bear;take over;accept;assume|accept;live with;swallow|accept;take|accept|take;accept|accept
accessible,approachable
accessory,accoutrement;accouterment|appurtenance;supplement;add-on|accessary
accessory,accessary|adjunct;ancillary;adjuvant;appurtenant;auxiliary
accidental,inadvertent
accommodating,suit;accommodate;fit|adapt;accommodate|accommodate|accommodate;hold;admit|lodge;accommodate|oblige;accommodate|accommodate;reconcile;conciliate
accommodating,accommodative
accompanied,attach to;accompany;come with;go with|accompany|play along;accompany;follow|company;companion;accompany;keep company
accompanied,attended
accompanying,attach to;accompany;come with;go with|accompany|play along;accompany;follow|company;companion;accompany;keep company
accompanying,attendant;consequent;concomitant;incidental;ensuant;resultant;sequent
accomplished,carry through;accomplish;execute;carry out;action;fulfill;fulfil|achieve;accomplish;attain;reach
accomplished,complete|completed;realized;realised|effected;established
according,harmonize;harmonise;consort;accord;concord;fit in;agree|accord;allot;grant
accredited,accredit;recognize;recognise|accredit|accredit;credit
accredited,commissioned;licensed;licenced
accrued,accrue|accrue;fall
accrued,accumulated
accumulated,roll up;collect;accumulate;pile up;amass;compile;hoard|accumulate;cumulate;conglomerate;pile up;gather;amass
accumulated,accrued
accurate,exact;precise
accusatory,accusative;accusing;accusive
accusing,accuse;impeach;incriminate;criminate|charge;accuse
accusing,accusative;accusatory;accusive
accustomed,habituate;accustom
accustomed,customary;habitual;wonted
ace,one;1;I;single;unity|adept;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz|angiotensin converting enzyme;angiotensin-converting enzyme;ACE|Allied Command Europe;ACE
ace,breeze through;pass with flying colors;sweep through;sail through;nail
ace,A-one;crack;first-rate;super;tiptop;topnotch;top-notch;tops
achievable,accomplishable;doable;manageable;realizable
acid,back breaker;battery-acid;dose;dot;Elvis;loony toons;Lucy in the sky with diamonds;pane;superman;window pane;Zen
acid,acerb;acerbic;acrid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic|acidic;acidulent;acidulous
acidic,acid;acidulent;acidulous
acknowledged,admit;acknowledge|acknowledge;receipt|notice;acknowledge|acknowledge;recognize;recognise|acknowledge|acknowledge;recognize;recognise;know
acoustic,acoustical
acquainted,introduce;present;acquaint|familiarize;familiarise;acquaint|acquaint
acquired,get;acquire|assume;acquire;adopt;take on;take|grow;develop;produce;get;acquire|acquire|acquire;win;gain|learn;larn;acquire|develop;acquire;evolve
acquitted,acquit;assoil;clear;discharge;exonerate;exculpate|behave;acquit;bear;deport;conduct;comport;carry
acquitted,not guilty
acrid,pungent|acerb;acerbic;acid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acrimonious,bitter
acrobatic,athletic;gymnastic
acting,playing;playacting;performing
acting,act;move|act;behave;do|act;play;represent|act|act;play;act as|act|work;act|act|dissemble;pretend;act|act;play;roleplay;playact
activated,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|activate|activate|activate;aerate|activate
activated,excited
activating,energizing;activation
activating,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|activate|activate|activate;aerate|activate
activating,actuating
active,active agent|active voice
active,combat-ready;fighting|participating|alive
active,dynamic
activist,militant
activist,activistic
actual,existent
actual,genuine;literal;real|factual
acute,acute accent;ague
acute,intense|discriminating;incisive;keen;knifelike;penetrating;penetrative;piercing;sharp|acuate;sharp;needlelike
adamant,diamond
adamant,adamantine;inexorable;intransigent
adapted,adapt;accommodate|adjust;conform;adapt
adapted,altered
adaptive,adaptative
addicted,addict;hook
addictive,habit-forming
additional,extra
additive,linear
addressed,address;turn to|address;speak|address;direct|address|address|address;call|address|cover;treat;handle;plow;deal;address|address;accost;come up to|address
adept,ace;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz
adept,expert;good;practiced;proficient;skillful;skilful
adequate,equal
adequate,decent;enough|passable;fair to middling;tolerable
adhesive,adhesive material;adhesive agent
adjacent,next;side by side|conterminous;contiguous;neighboring
adjunct,accessory;ancillary;adjuvant;appurtenant;auxiliary|assistant
adjusted,adjust;set;correct|align;aline;line up;adjust|adjust;conform;adapt|adjust|adjust
adjusted,familiarized;familiarised
adjuvant,accessory;adjunct;ancillary;appurtenant;auxiliary
admired,admire;look up to|admire
adolescent,stripling;teenager;teen
adolescent,teen;teenage;teenaged|jejune;juvenile;puerile
adopted,adopt;follow;espouse|adopt;borrow;take over;take up|assume;adopt;take on;take over|assume;acquire;adopt;take on;take|adopt;take in|dramatize;dramatise;adopt|espouse;embrace;adopt;sweep up
adopted,adoptive
adoptive,adopted
adorable,endearing;lovely
adored,adore
adored,idolized;idolised;worshipped
adoring,adore
adoring,worshipful|doting;fond
adorned,decorate;adorn;grace;ornament;embellish;beautify|deck;adorn;decorate;grace;embellish;beautify|invest;clothe;adorn
adorned,decorated
adrenal,adrenal gland;suprarenal gland
adrenocorticotropic,adrenocorticotrophic
adrift,afloat;aimless;directionless;planless;rudderless;undirected
adult,grownup
adult,big;full-grown;fully grown;grown;grownup|pornographic
advance,progress;progression|improvement;betterment|overture;approach;feeler|progress;progression;procession;advancement;forward motion;onward motion|cash advance|rise
advance,progress;pass on;move on;march on;go on|throw out|boost;supercharge|promote;boost;further;encourage|bring forward|gain;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;get on;get along;shape up|promote;upgrade;kick upstairs;raise;elevate|set ahead|gain
advance,beforehand|advanced;in advance
advanced,advance;progress;pass on;move on;march on;go on|advance;throw out|boost;advance;supercharge|promote;advance;boost;further;encourage|advance;bring forward|gain;advance;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;advance;get on;get along;shape up|advance|promote;upgrade;advance;kick upstairs;raise;elevate|advance|advance;set ahead|advance;gain
advanced,forward-looking;innovative;modern|sophisticated|ripe|advance;in advance
advancing,advance;progress;pass on;move on;march on;go on|advance;throw out|boost;advance;supercharge|promote;advance;boost;further;encourage|advance;bring forward|gain;advance;win;pull ahead;make headway;get ahead;gain ground|progress;come on;come along;advance;get on;get along;shape up|advance|promote;upgrade;advance;kick upstairs;raise;elevate|advance|advance;set ahead|advance;gain
advancing,forward;forward-moving
adventurous,adventuresome
adverse,inauspicious;untoward|contrary
advertised,advertise;publicize;advertize;publicise|advertise;advertize;promote;push
advised,rede;advise;counsel|advise;notify;give notice;send word;apprise;apprize|propose;suggest;advise
advised,well-advised
advisory,consultative;consultatory;consultive
aegean,Aegean;Aegean Sea
aegean,Aegean|Aegean
aeolian,Aeolian;Eolian|Aeolian
aeolian,Aeolian|Aeolian
aerial,forward pass|antenna;transmitting aerial
aerial,aeriform;airy;aery;ethereal
aerobic,aerophilic;aerophilous
aerodynamic,streamlined;flowing;sleek
aeronautical,aeronautic
aesthetic,esthetic
aesthetic,esthetic|esthetic;aesthetical;esthetical
aesthetic,esthetic;artistic
affable,amiable;cordial;genial
affected,affect;impact;bear upon;bear on;touch on;touch|affect|involve;affect;regard|feign;sham;pretend;affect;dissemble|affect;impress;move;strike
affected,unnatural|moved;stirred;touched
affecting,affect;impact;bear upon;bear on;touch on;touch|affect|involve;affect;regard|feign;sham;pretend;affect;dissemble|affect;impress;move;strike
affecting,poignant;touching
affectionate,fond;lovesome;tender;warm
affiliated,consort;associate;affiliate;assort|affiliate
affiliated,attached;connected
affirmative,affirmatory
affirmative,optimistic|approving;approbative;approbatory;plausive
affixed,affix;stick on|append;add on;supplement;affix|affix
afflicted,afflict|afflict;smite
afflicted,stricken|impaired
affluent,feeder;tributary;confluent
affluent,flush;loaded;moneyed;wealthy
affordable,low-cost;low-priced
afghan,Afghan;Afghanistani|Pashto;Pashtu;Paxto;Afghani;Afghan|sheepskin coat|Afghan hound;Afghan
afghan,Afghani;Afghan;Afghanistani
afghani,Pashto;Pashtu;Paxto;Afghani;Afghan
afghani,Afghani;Afghan;Afghanistani
afloat,adrift;aimless;directionless;planless;rudderless;undirected|awash;flooded;inundated;overflowing
aflutter,nervous
afoot,underway
aforementioned,aforesaid;said
afoul,foul;fouled
african,African
african,African
aft,abaft;astern
agape,agape love|love feast
agape,gaping
aged,elderly
aged,age|senesce;age;get on;mature;maturate|age
